Node,X,Y,Z
1,5.000000,195.000000,30.000000
2,15.000000,195.000000,30.000000
3,25.000000,195.000000,30.000000
4,35.000000,195.000000,30.000000
5,45.000000,195.000000,30.000000
6,55.000000,195.000000,30.000000
7,65.000000,195.000000,30.000000
8,75.000000,195.000000,30.000000
9,85.000000,195.000000,30.000000
10,95.000000,195.000000,30.000000
11,105.000000,195.000000,30.000000
12,115.000000,195.000000,30.000000
13,125.000000,195.000000,30.000000
14,135.000000,195.000000,30.000000
15,145.000000,195.000000,30.000000
16,155.000000,195.000000,30.000000
17,165.000000,195.000000,30.000000
18,175.000000,195.000000,30.000000
19,185.000000,195.000000,30.000000
20,195.000000,195.000000,30.000000
21,5.000000,185.000000,30.000000
22,15.000000,185.000000,30.000000
23,25.000000,185.000000,30.000000
24,35.000000,185.000000,30.000000
25,45.000000,185.000000,30.000000
26,55.000000,185.000000,30.000000
27,65.000000,185.000000,30.000000
28,75.000000,185.000000,30.000000
29,85.000000,185.000000,30.000000
30,95.000000,185.000000,30.000000
31,105.000000,185.000000,30.000000
32,115.000000,185.000000,30.000000
33,125.000000,185.000000,30.000000
34,135.000000,185.000000,30.000000
35,145.000000,185.000000,30.000000
36,155.000000,185.000000,30.000000
37,165.000000,185.000000,30.000000
38,175.000000,185.000000,30.000000
39,185.000000,185.000000,30.000000
40,195.000000,185.000000,30.000000
41,5.000000,175.000000,30.000000
42,15.000000,175.000000,30.000000
43,25.000000,175.000000,30.000000
44,35.000000,175.000000,30.000000
45,45.000000,175.000000,30.000000
46,55.000000,175.000000,30.000000
47,65.000000,175.000000,30.000000
48,75.000000,175.000000,30.000000
49,85.000000,175.000000,30.000000
50,95.000000,175.000000,30.000000
51,105.000000,175.000000,30.000000
52,115.000000,175.000000,30.000000
53,125.000000,175.000000,30.000000
54,135.000000,175.000000,30.000000
55,145.000000,175.000000,30.000000
56,155.000000,175.000000,30.000000
57,165.000000,175.000000,30.000000
58,175.000000,175.000000,30.000000
59,185.000000,175.000000,30.000000
60,195.000000,175.000000,30.000000
61,5.000000,165.000000,30.000000
62,15.000000,165.000000,30.000000
63,25.000000,165.000000,30.000000
64,35.000000,165.000000,30.000000
65,45.000000,165.000000,30.000000
66,55.000000,165.000000,30.000000
67,65.000000,165.000000,30.000000
68,75.000000,165.000000,30.000000
69,85.000000,165.000000,30.000000
70,95.000000,165.000000,30.000000
71,105.000000,165.000000,30.000000
72,115.000000,165.000000,30.000000
73,125.000000,165.000000,30.000000
74,135.000000,165.000000,30.000000
75,145.000000,165.000000,30.000000
76,155.000000,165.000000,30.000000
77,165.000000,165.000000,30.000000
78,175.000000,165.000000,30.000000
79,185.000000,165.000000,30.000000
80,195.000000,165.000000,30.000000
81,5.000000,155.000000,30.000000
82,15.000000,155.000000,30.000000
83,25.000000,155.000000,30.000000
84,35.000000,155.000000,30.000000
85,45.000000,155.000000,30.000000
86,55.000000,155.000000,30.000000
87,65.000000,155.000000,30.000000
88,75.000000,155.000000,30.000000
89,85.000000,155.000000,30.000000
90,95.000000,155.000000,30.000000
91,105.000000,155.000000,30.000000
92,115.000000,155.000000,30.000000
93,125.000000,155.000000,30.000000
94,135.000000,155.000000,30.000000
95,145.000000,155.000000,30.000000
96,155.000000,155.000000,30.000000
97,165.000000,155.000000,30.000000
98,175.000000,155.000000,30.000000
99,185.000000,155.000000,30.000000
100,195.000000,155.000000,30.000000
101,5.000000,145.000000,30.000000
102,15.000000,145.000000,30.000000
103,25.000000,145.000000,30.000000
104,35.000000,145.000000,30.000000
105,45.000000,145.000000,30.000000
106,55.000000,145.000000,30.000000
107,65.000000,145.000000,30.000000
108,75.000000,145.000000,30.000000
109,85.000000,145.000000,30.000000
110,95.000000,145.000000,30.000000
111,105.000000,145.000000,30.000000
112,115.000000,145.000000,30.000000
113,125.000000,145.000000,30.000000
114,135.000000,145.000000,30.000000
115,145.000000,145.000000,30.000000
116,155.000000,145.000000,30.000000
117,165.000000,145.000000,30.000000
118,175.000000,145.000000,30.000000
119,185.000000,145.000000,30.000000
120,195.000000,145.000000,30.000000
121,5.000000,135.000000,30.000000
122,15.000000,135.000000,30.000000
123,25.000000,135.000000,30.000000
124,35.000000,135.000000,30.000000
125,45.000000,135.000000,30.000000
126,55.000000,135.000000,30.000000
127,65.000000,135.000000,30.000000
128,75.000000,135.000000,30.000000
129,85.000000,135.000000,30.000000
130,95.000000,135.000000,30.000000
131,105.000000,135.000000,30.000000
132,115.000000,135.000000,30.000000
133,125.000000,135.000000,30.000000
134,135.000000,135.000000,30.000000
135,145.000000,135.000000,30.000000
136,155.000000,135.000000,30.000000
137,165.000000,135.000000,30.000000
138,175.000000,135.000000,30.000000
139,185.000000,135.000000,30.000000
140,195.000000,135.000000,30.000000
141,5.000000,125.000000,30.000000
142,15.000000,125.000000,30.000000
143,25.000000,125.000000,30.000000
144,35.000000,125.000000,30.000000
145,45.000000,125.000000,30.000000
146,55.000000,125.000000,30.000000
147,65.000000,125.000000,30.000000
148,75.000000,125.000000,30.000000
149,85.000000,125.000000,30.000000
150,95.000000,125.000000,30.000000
151,105.000000,125.000000,30.000000
152,115.000000,125.000000,30.000000
153,125.000000,125.000000,30.000000
154,135.000000,125.000000,30.000000
155,145.000000,125.000000,30.000000
156,155.000000,125.000000,30.000000
157,165.000000,125.000000,30.000000
158,175.000000,125.000000,30.000000
159,185.000000,125.000000,30.000000
160,195.000000,125.000000,30.000000
161,5.000000,115.000000,30.000000
162,15.000000,115.000000,30.000000
163,25.000000,115.000000,30.000000
164,35.000000,115.000000,30.000000
165,45.000000,115.000000,30.000000
166,55.000000,115.000000,30.000000
167,65.000000,115.000000,30.000000
168,75.000000,115.000000,30.000000
169,85.000000,115.000000,30.000000
170,95.000000,115.000000,30.000000
171,105.000000,115.000000,30.000000
172,115.000000,115.000000,30.000000
173,125.000000,115.000000,30.000000
174,135.000000,115.000000,30.000000
175,145.000000,115.000000,30.000000
176,155.000000,115.000000,30.000000
177,165.000000,115.000000,30.000000
178,175.000000,115.000000,30.000000
179,185.000000,115.000000,30.000000
180,195.000000,115.000000,30.000000
181,5.000000,105.000000,30.000000
182,15.000000,105.000000,30.000000
183,25.000000,105.000000,30.000000
184,35.000000,105.000000,30.000000
185,45.000000,105.000000,30.000000
186,55.000000,105.000000,30.000000
187,65.000000,105.000000,30.000000
188,75.000000,105.000000,30.000000
189,85.000000,105.000000,30.000000
190,95.000000,105.000000,30.000000
191,105.000000,105.000000,30.000000
192,115.000000,105.000000,30.000000
193,125.000000,105.000000,30.000000
194,135.000000,105.000000,30.000000
195,145.000000,105.000000,30.000000
196,155.000000,105.000000,30.000000
197,165.000000,105.000000,30.000000
198,175.000000,105.000000,30.000000
199,185.000000,105.000000,30.000000
200,195.000000,105.000000,30.000000
201,5.000000,95.000000,30.000000
202,15.000000,95.000000,30.000000
203,25.000000,95.000000,30.000000
204,35.000000,95.000000,30.000000
205,45.000000,95.000000,30.000000
206,55.000000,95.000000,30.000000
207,65.000000,95.000000,30.000000
208,75.000000,95.000000,30.000000
209,85.000000,95.000000,30.000000
210,95.000000,95.000000,30.000000
211,105.000000,95.000000,30.000000
212,115.000000,95.000000,30.000000
213,125.000000,95.000000,30.000000
214,135.000000,95.000000,30.000000
215,145.000000,95.000000,30.000000
216,155.000000,95.000000,30.000000
217,165.000000,95.000000,30.000000
218,175.000000,95.000000,30.000000
219,185.000000,95.000000,30.000000
220,195.000000,95.000000,30.000000
221,5.000000,85.000000,30.000000
222,15.000000,85.000000,30.000000
223,25.000000,85.000000,30.000000
224,35.000000,85.000000,30.000000
225,45.000000,85.000000,30.000000
226,55.000000,85.000000,30.000000
227,65.000000,85.000000,30.000000
228,75.000000,85.000000,30.000000
229,85.000000,85.000000,30.000000
230,95.000000,85.000000,30.000000
231,105.000000,85.000000,30.000000
232,115.000000,85.000000,30.000000
233,125.000000,85.000000,30.000000
234,135.000000,85.000000,30.000000
235,145.000000,85.000000,30.000000
236,155.000000,85.000000,30.000000
237,165.000000,85.000000,30.000000
238,175.000000,85.000000,30.000000
239,185.000000,85.000000,30.000000
240,195.000000,85.000000,30.000000
241,5.000000,75.000000,30.000000
242,15.000000,75.000000,30.000000
243,25.000000,75.000000,30.000000
244,35.000000,75.000000,30.000000
245,45.000000,75.000000,30.000000
246,55.000000,75.000000,30.000000
247,65.000000,75.000000,30.000000
248,75.000000,75.000000,30.000000
249,85.000000,75.000000,30.000000
250,95.000000,75.000000,30.000000
251,105.000000,75.000000,30.000000
252,115.000000,75.000000,30.000000
253,125.000000,75.000000,30.000000
254,135.000000,75.000000,30.000000
255,145.000000,75.000000,30.000000
256,155.000000,75.000000,30.000000
257,165.000000,75.000000,30.000000
258,175.000000,75.000000,30.000000
259,185.000000,75.000000,30.000000
260,195.000000,75.000000,30.000000
261,5.000000,65.000000,30.000000
262,15.000000,65.000000,30.000000
263,25.000000,65.000000,30.000000
264,35.000000,65.000000,30.000000
265,45.000000,65.000000,30.000000
266,55.000000,65.000000,30.000000
267,65.000000,65.000000,30.000000
268,75.000000,65.000000,30.000000
269,85.000000,65.000000,30.000000
270,95.000000,65.000000,30.000000
271,105.000000,65.000000,30.000000
272,115.000000,65.000000,30.000000
273,125.000000,65.000000,30.000000
274,135.000000,65.000000,30.000000
275,145.000000,65.000000,30.000000
276,155.000000,65.000000,30.000000
277,165.000000,65.000000,30.000000
278,175.000000,65.000000,30.000000
279,185.000000,65.000000,30.000000
280,195.000000,65.000000,30.000000
281,5.000000,55.000000,30.000000
282,15.000000,55.000000,30.000000
283,25.000000,55.000000,30.000000
284,35.000000,55.000000,30.000000
285,45.000000,55.000000,30.000000
286,55.000000,55.000000,30.000000
287,65.000000,55.000000,30.000000
288,75.000000,55.000000,30.000000
289,85.000000,55.000000,30.000000
290,95.000000,55.000000,30.000000
291,105.000000,55.000000,30.000000
292,115.000000,55.000000,30.000000
293,125.000000,55.000000,30.000000
294,135.000000,55.000000,30.000000
295,145.000000,55.000000,30.000000
296,155.000000,55.000000,30.000000
297,165.000000,55.000000,30.000000
298,175.000000,55.000000,30.000000
299,185.000000,55.000000,30.000000
300,195.000000,55.000000,30.000000
301,5.000000,45.000000,30.000000
302,15.000000,45.000000,30.000000
303,25.000000,45.000000,30.000000
304,35.000000,45.000000,30.000000
305,45.000000,45.000000,30.000000
306,55.000000,45.000000,30.000000
307,65.000000,45.000000,30.000000
308,75.000000,45.000000,30.000000
309,85.000000,45.000000,30.000000
310,95.000000,45.000000,30.000000
311,105.000000,45.000000,30.000000
312,115.000000,45.000000,30.000000
313,125.000000,45.000000,30.000000
314,135.000000,45.000000,30.000000
315,145.000000,45.000000,30.000000
316,155.000000,45.000000,30.000000
317,165.000000,45.000000,30.000000
318,175.000000,45.000000,30.000000
319,185.000000,45.000000,30.000000
320,195.000000,45.000000,30.000000
321,5.000000,35.000000,30.000000
322,15.000000,35.000000,30.000000
323,25.000000,35.000000,30.000000
324,35.000000,35.000000,30.000000
325,45.000000,35.000000,30.000000
326,55.000000,35.000000,30.000000
327,65.000000,35.000000,30.000000
328,75.000000,35.000000,30.000000
329,85.000000,35.000000,30.000000
330,95.000000,35.000000,30.000000
331,105.000000,35.000000,30.000000
332,115.000000,35.000000,30.000000
333,125.000000,35.000000,30.000000
334,135.000000,35.000000,30.000000
335,145.000000,35.000000,30.000000
336,155.000000,35.000000,30.000000
337,165.000000,35.000000,30.000000
338,175.000000,35.000000,30.000000
339,185.000000,35.000000,30.000000
340,195.000000,35.000000,30.000000
341,5.000000,25.000000,30.000000
342,15.000000,25.000000,30.000000
343,25.000000,25.000000,30.000000
344,35.000000,25.000000,30.000000
345,45.000000,25.000000,30.000000
346,55.000000,25.000000,30.000000
347,65.000000,25.000000,30.000000
348,75.000000,25.000000,30.000000
349,85.000000,25.000000,30.000000
350,95.000000,25.000000,30.000000
351,105.000000,25.000000,30.000000
352,115.000000,25.000000,30.000000
353,125.000000,25.000000,30.000000
354,135.000000,25.000000,30.000000
355,145.000000,25.000000,30.000000
356,155.000000,25.000000,30.000000
357,165.000000,25.000000,30.000000
358,175.000000,25.000000,30.000000
359,185.000000,25.000000,30.000000
360,195.000000,25.000000,30.000000
361,5.000000,15.000000,30.000000
362,15.000000,15.000000,30.000000
363,25.000000,15.000000,30.000000
364,35.000000,15.000000,30.000000
365,45.000000,15.000000,30.000000
366,55.000000,15.000000,30.000000
367,65.000000,15.000000,30.000000
368,75.000000,15.000000,30.000000
369,85.000000,15.000000,30.000000
370,95.000000,15.000000,30.000000
371,105.000000,15.000000,30.000000
372,115.000000,15.000000,30.000000
373,125.000000,15.000000,30.000000
374,135.000000,15.000000,30.000000
375,145.000000,15.000000,30.000000
376,155.000000,15.000000,30.000000
377,165.000000,15.000000,30.000000
378,175.000000,15.000000,30.000000
379,185.000000,15.000000,30.000000
380,195.000000,15.000000,30.000000
381,5.000000,5.000000,30.000000
382,15.000000,5.000000,30.000000
383,25.000000,5.000000,30.000000
384,35.000000,5.000000,30.000000
385,45.000000,5.000000,30.000000
386,55.000000,5.000000,30.000000
387,65.000000,5.000000,30.000000
388,75.000000,5.000000,30.000000
389,85.000000,5.000000,30.000000
390,95.000000,5.000000,30.000000
391,105.000000,5.000000,30.000000
392,115.000000,5.000000,30.000000
393,125.000000,5.000000,30.000000
394,135.000000,5.000000,30.000000
395,145.000000,5.000000,30.000000
396,155.000000,5.000000,30.000000
397,165.000000,5.000000,30.000000
398,175.000000,5.000000,30.000000
399,185.000000,5.000000,30.000000
400,195.000000,5.000000,30.000000
401,5.000000,195.000000,19.500000
402,15.000000,195.000000,19.500000
403,25.000000,195.000000,19.500000
404,35.000000,195.000000,19.500000
405,45.000000,195.000000,19.500000
406,55.000000,195.000000,19.500000
407,65.000000,195.000000,19.500000
408,75.000000,195.000000,19.500000
409,85.000000,195.000000,19.500000
410,95.000000,195.000000,19.500000
411,105.000000,195.000000,19.500000
412,115.000000,195.000000,19.500000
413,125.000000,195.000000,19.500000
414,135.000000,195.000000,19.500000
415,145.000000,195.000000,19.500000
416,155.000000,195.000000,19.500000
417,165.000000,195.000000,19.500000
418,175.000000,195.000000,19.500000
419,185.000000,195.000000,19.500000
420,195.000000,195.000000,19.500000
421,5.000000,185.000000,19.500000
422,15.000000,185.000000,19.500000
423,25.000000,185.000000,19.500000
424,35.000000,185.000000,19.500000
425,45.000000,185.000000,19.500000
426,55.000000,185.000000,19.500000
427,65.000000,185.000000,19.500000
428,75.000000,185.000000,19.500000
429,85.000000,185.000000,19.500000
430,95.000000,185.000000,19.500000
431,105.000000,185.000000,19.500000
432,115.000000,185.000000,19.500000
433,125.000000,185.000000,19.500000
434,135.000000,185.000000,19.500000
435,145.000000,185.000000,19.500000
436,155.000000,185.000000,19.500000
437,165.000000,185.000000,19.500000
438,175.000000,185.000000,19.500000
439,185.000000,185.000000,19.500000
440,195.000000,185.000000,19.500000
441,5.000000,175.000000,19.500000
442,15.000000,175.000000,19.500000
443,25.000000,175.000000,19.500000
444,35.000000,175.000000,19.500000
445,45.000000,175.000000,19.500000
446,55.000000,175.000000,19.500000
447,65.000000,175.000000,19.500000
448,75.000000,175.000000,19.500000
449,85.000000,175.000000,19.500000
450,95.000000,175.000000,19.500000
451,105.000000,175.000000,19.500000
452,115.000000,175.000000,19.500000
453,125.000000,175.000000,19.500000
454,135.000000,175.000000,19.500000
455,145.000000,175.000000,19.500000
456,155.000000,175.000000,19.500000
457,165.000000,175.000000,19.500000
458,175.000000,175.000000,19.500000
459,185.000000,175.000000,19.500000
460,195.000000,175.000000,19.500000
461,5.000000,165.000000,19.500000
462,15.000000,165.000000,19.500000
463,25.000000,165.000000,19.500000
464,35.000000,165.000000,19.500000
465,45.000000,165.000000,19.500000
466,55.000000,165.000000,19.500000
467,65.000000,165.000000,19.500000
468,75.000000,165.000000,19.500000
469,85.000000,165.000000,19.500000
470,95.000000,165.000000,19.500000
471,105.000000,165.000000,19.500000
472,115.000000,165.000000,19.500000
473,125.000000,165.000000,19.500000
474,135.000000,165.000000,19.500000
475,145.000000,165.000000,19.500000
476,155.000000,165.000000,19.500000
477,165.000000,165.000000,19.500000
478,175.000000,165.000000,19.500000
479,185.000000,165.000000,19.500000
480,195.000000,165.000000,19.500000
481,5.000000,155.000000,19.500000
482,15.000000,155.000000,19.500000
483,25.000000,155.000000,19.500000
484,35.000000,155.000000,19.500000
485,45.000000,155.000000,19.500000
486,55.000000,155.000000,19.500000
487,65.000000,155.000000,19.500000
488,75.000000,155.000000,19.500000
489,85.000000,155.000000,19.500000
490,95.000000,155.000000,19.500000
491,105.000000,155.000000,19.500000
492,115.000000,155.000000,19.500000
493,125.000000,155.000000,19.500000
494,135.000000,155.000000,19.500000
495,145.000000,155.000000,19.500000
496,155.000000,155.000000,19.500000
497,165.000000,155.000000,19.500000
498,175.000000,155.000000,19.500000
499,185.000000,155.000000,19.500000
500,195.000000,155.000000,19.500000
501,5.000000,145.000000,19.500000
502,15.000000,145.000000,19.500000
503,25.000000,145.000000,19.500000
504,35.000000,145.000000,19.500000
505,45.000000,145.000000,19.500000
506,55.000000,145.000000,19.500000
507,65.000000,145.000000,19.500000
508,75.000000,145.000000,19.500000
509,85.000000,145.000000,19.500000
510,95.000000,145.000000,19.500000
511,105.000000,145.000000,19.500000
512,115.000000,145.000000,19.500000
513,125.000000,145.000000,19.500000
514,135.000000,145.000000,19.500000
515,145.000000,145.000000,19.500000
516,155.000000,145.000000,19.500000
517,165.000000,145.000000,19.500000
518,175.000000,145.000000,19.500000
519,185.000000,145.000000,19.500000
520,195.000000,145.000000,19.500000
521,5.000000,135.000000,19.500000
522,15.000000,135.000000,19.500000
523,25.000000,135.000000,19.500000
524,35.000000,135.000000,19.500000
525,45.000000,135.000000,19.500000
526,55.000000,135.000000,19.500000
527,65.000000,135.000000,19.500000
528,75.000000,135.000000,19.500000
529,85.000000,135.000000,19.500000
530,95.000000,135.000000,19.500000
531,105.000000,135.000000,19.500000
532,115.000000,135.000000,19.500000
533,125.000000,135.000000,19.500000
534,135.000000,135.000000,19.500000
535,145.000000,135.000000,19.500000
536,155.000000,135.000000,19.500000
537,165.000000,135.000000,19.500000
538,175.000000,135.000000,19.500000
539,185.000000,135.000000,19.500000
540,195.000000,135.000000,19.500000
541,5.000000,125.000000,19.500000
542,15.000000,125.000000,19.500000
543,25.000000,125.000000,19.500000
544,35.000000,125.000000,19.500000
545,45.000000,125.000000,19.500000
546,55.000000,125.000000,19.500000
547,65.000000,125.000000,19.500000
548,75.000000,125.000000,19.500000
549,85.000000,125.000000,19.500000
550,95.000000,125.000000,19.500000
551,105.000000,125.000000,19.500000
552,115.000000,125.000000,19.500000
553,125.000000,125.000000,19.500000
554,135.000000,125.000000,19.500000
555,145.000000,125.000000,19.500000
556,155.000000,125.000000,19.500000
557,165.000000,125.000000,19.500000
558,175.000000,125.000000,19.500000
559,185.000000,125.000000,19.500000
560,195.000000,125.000000,19.500000
561,5.000000,115.000000,19.500000
562,15.000000,115.000000,19.500000
563,25.000000,115.000000,19.500000
564,35.000000,115.000000,19.500000
565,45.000000,115.000000,19.500000
566,55.000000,115.000000,19.500000
567,65.000000,115.000000,19.500000
568,75.000000,115.000000,19.500000
569,85.000000,115.000000,19.500000
570,95.000000,115.000000,19.500000
571,105.000000,115.000000,19.500000
572,115.000000,115.000000,19.500000
573,125.000000,115.000000,19.500000
574,135.000000,115.000000,19.500000
575,145.000000,115.000000,19.500000
576,155.000000,115.000000,19.500000
577,165.000000,115.000000,19.500000
578,175.000000,115.000000,19.500000
579,185.000000,115.000000,19.500000
580,195.000000,115.000000,19.500000
581,5.000000,105.000000,19.500000
582,15.000000,105.000000,19.500000
583,25.000000,105.000000,19.500000
584,35.000000,105.000000,19.500000
585,45.000000,105.000000,19.500000
586,55.000000,105.000000,19.500000
587,65.000000,105.000000,19.500000
588,75.000000,105.000000,19.500000
589,85.000000,105.000000,19.500000
590,95.000000,105.000000,19.500000
591,105.000000,105.000000,19.500000
592,115.000000,105.000000,19.500000
593,125.000000,105.000000,19.500000
594,135.000000,105.000000,19.500000
595,145.000000,105.000000,19.500000
